fid,sisid,sci_name,presence,origin,seasonal,source,compiler,yrcompiled,data_sens,sens_comm,dist_comm,tax_comm,generalisd,version,yrmodified,citation,Shape_Length,Shape_Area
844,22720407,Spinus tristis,1,1,3,"Poole and Gill, 1992",WILDSPACETM 2002,2016,0,, , ,0,2022.1,2006,BirdLife International and Handbook of the Birds of the World,287.6777574,266.7073519
845,22700357,Casiornis rufus,1,1,1,"Ridgely, 2002","WWF-US, 2000; NatureServe, 2002",2016,0,, ,Name changed from Casiornis rufa for gender agreement (David and Gosselin 2002).,0,2022.1,2002,BirdLife International and Handbook of the Birds of the World,75.48384171,242.1576252
846,22700365,Casiornis fuscus,1,1,1,"Ridgely, 2002","TNC-Wings, 1999; NatureServe, 2002",2016,0,, ,Name changed from Casiornis fusca for gender agreement (David and Gosselin 2002).,0,2022.1,2002,BirdLife International and Handbook of the Birds of the World,102.0770753,172.9031126
847,22723573,Catamenia inornata,1,1,1,"Ridgely, 2002","NatureServe, 2002",2016,0,, , ,0,2022.1,2002,BirdLife International and Handbook of the Birds of the World,134.4560239,68.70835828
848,22701080,Chiroxiphia boliviana,1,1,1,"Ridgely, 2002","NatureServe, 2002",2018,0,, , ,0,2022.1,2002,BirdLife International and Handbook of the Birds of the World,24.78729836,6.66961766
849,22714927,Iduna similis,1,1,1,"Urban, 1997; del Hoyo et al, 2006; Stevenson & Fanshawe, 2002; Carswell et al, 2005; Dowsett et al, 2008; Dowsett-Lemaire & Dowsett 2006",Richard Johnson (BirdLife International),2016,0,, , ,0,2022.1,2010,BirdLife International and Handbook of the Birds of the World,68.30974446,23.12948774
850,22716323,Chrysomma sinense,1,1,1,"del Hoyo et al, 2007; Rasmussen & Anderton, 2005; Grimmett et al, 1998; Grimmett et al, 2008; Robson, 2002; Robson, 2008; Mackinnon & Phillipps, 2000",Richard Johnson (BirdLife International),2016,0,, , ,0,2022.1,2010,BirdLife International and Handbook of the Birds of the World,323.200828,379.6777592
851,22711351,Cinnycerthia unirufa,1,1,1,"Ridgely, 2002","NatureServe, 2002",2016,0,, , ,0,2022.1,2007,BirdLife International and Handbook of the Birds of the World,42.48694807,12.53301022
852,22713444,Cisticola fulvicapilla,1,1,1,"Borrow and Demey, 2001; Stevenson and Fanshawe, 2002; Hockey et al., 2005; del Hoyo et al., 2006",Joe Taylor (BirdLife International),2016,0,, , ,0,2022.1,2010,BirdLife International and Handbook of the Birds of the World,205.63072,397.0969656
853,22720702,Hesperiphona vespertina,1,1,1,"Howell and Webb, 1995","WILDSPACETM 2002; NatureServe, 2002",2018,0,, , ,0,2022.1,2006,BirdLife International and Handbook of the Birds of the World,867.3859591,472.2979169
854,22720702,Hesperiphona vespertina,1,1,3,"Peterson, 1980; Peterson, 1990; Poole and Gill, 1992-2002","WILDSPACETM 2002; NatureServe, 2002",2018,0,, , ,0,2022.1,2006,BirdLife International and Handbook of the Birds of the World,417.2896208,610.855861
855,22722111,Conirostrum albifrons,1,1,1,"Ridgely, 2002","NatureServe, 2002",2016,0,, , ,0,2022.1,2002,BirdLife International and Handbook of the Birds of the World,104.3779284,24.51551384
856,22722108,Conirostrum sitticolor,1,1,1,"Ridgely, 2002","NatureServe, 2002",2016,0,, , ,0,2022.1,2002,BirdLife International and Handbook of the Birds of the World,94.39185306,24.65931689
857,22706068,Corvus corax,1,1,2,"Cramp, 1997",BirdLife International,2016,0,, , ,0,2022.1,2006,BirdLife International and Handbook of the Birds of the World,41.87653825,6.366944327
858,22706068,Corvus corax,1,1,3,"Cramp, 1997",BirdLife International,2016,0,, , ,0,2022.1,2006,BirdLife International and Handbook of the Birds of the World,85.79097699,6.550866207
859,22699730,Pyrrhomyias cinnamomeus,1,1,1,"Ridgely, 2002; Hilty, 2003","NatureServe, 2002; Joscelyne Ashpole (BirdLife International)",2016,0,, ,Name changed from Pyrrhomyias cinnamomea for gender agreement (David and Gosselin 2002).,0,2022.1,2016,BirdLife International and Handbook of the Birds of the World,146.2845418,44.85322591
860,22702664,Coryphistera alaudina,1,1,1,"Ridgely, 2002","NatureServe, 2002",2016,0,, , ,0,2022.1,2002,BirdLife International and Handbook of the Birds of the World,62.16879987,134.9028775
861,22699061,Corythopis torquatus,1,1,1,"Ridgely, 2002","NatureServe, 2002",2016,0,, ,Name changed from Corythopis torquata for gender agreement (David and Gisselin 2002).  Formerly placed in the Conopophagidae.,0,2022.1,2002,BirdLife International and Handbook of the Birds of the World,198.4629247,542.7784147
862,22709822,Cossypha heuglini,1,1,1,"Borrow and Demey, 2001; del Hoyo et al., 2005; Hockey et al., 2005; Redman et al., 2009",Joe Taylor (BirdLife International),2016,0,, , ,0,2022.1,2010,BirdLife International and Handbook of the Birds of the World,414.060622,529.2694798
863,22702448,Cranioleuca albicapilla,1,1,1,"Ridgely, 2002","TNC-Wings, 1999; NatureServe, 2002",2016,0,, , ,0,2022.1,2002,BirdLife International and Handbook of the Birds of the World,8.545058565,1.548875685
864,22702426,Cranioleuca hellmayri,1,1,1,"Ridgely, 2002","TNC-Wings, 1999; NatureServe, 2002",2018,0,, , ,0,2022.1,2002,BirdLife International and Handbook of the Birds of the World,2.74636174,0.55995708
865,22724271,Curaeus curaeus,1,1,3,"Ridgely, 2002","NatureServe, 2002",2016,0,, , ,0,2022.1,2002,BirdLife International and Handbook of the Birds of the World,7.056531811,1.451774289
866,22723932,Cyanoloxia brissonii,1,1,1,"Ridgely, 2002","NatureServe, 2002",2016,0,, , ,0,2022.1,2002,BirdLife International and Handbook of the Birds of the World,191.893579,508.7493074
867,22701223,Cymbilaimus lineatus,1,1,1,"Ridgely, 2002; Howell and Webb, 1995; Stiles and Skutch, 1989; Ridgely and Gwynne, 1989; Zook, 2002; Ridgely, 2002","NatureServe, 2002",2021,0,, , ,0,2022.1,2006,BirdLife International and Handbook of the Birds of the World,287.1606554,543.8927215
868,22735899,Cyornis banyumas,1,1,1,"Ding, 2001; Robson, 2002; Rasmussen and Anderton, 2005; del Hoyo et al., 2006; Wells, 2007; Myers, 2009; Renner et al., 2009",Joe Taylor (BirdLife International),2019,0,, , ,0,2022.1,2010,BirdLife International and Handbook of the Birds of the World,186.0903769,153.3700792
