#no	Lineage_Name	found	tested	vector_species	method	country	site	Reference_Name	comment
254	GRW09	 	 	Culex guiarti	PCR, thorax, absence of host DNA	Cameroon	 	Njabo et al 2011	 
255	GRW09	1	2	Anopheles mascarensis	PCR, head and thorax	Madagascar	Maromizaha	Schmid et al 2017a	 
256	GRW11	1	543	Culex pipiens	PCR , whole mosquitoes	France	Tour Carbonniere	Zele et al 2014	 
257	GRW11	1	 	Culex pipiens	PCR, abdomen with blood meal	Italy	 	Martinez-de la Puente et al 2015	 
258	GRW11	 	 	Culex pipiens	PCR, abdomen with blood meal	Japan	 	Kim et al 2009b	 
259	GRW11	 	 	Culex pipiens	PCR, thorax, absence of host DNA	Japan	Rinshi-no-mori Park	Kim & Tsuda 2010	 
260	GRW11	1	533	Culex pipiens	PCR, oocysts and sporozoites	Japan	Rinshi-no-mori Park	Kim & Tsuda 2015	 
261	GRW11	 	 	Culex pipiens	Experimental infection	Lithuania	 	Kazlauskiene et al 2013	 
262	GRW11	 	 	Culex pipiens	PCR, thorax, unfed	Switzerland	 	Glaizot et al 2012	 
263	GRW11	 	 	Culex pipiens	PCR, head and thorax	Switzerland	Dorigny, Lausanne	Lalubin et al 2013	 
264	GRW11	 	 	Culex quinquefasciatus	PCR , whole mosquitoes	Japan	 	Ejiri et al 2008	 
265	HAWF2	 	 	Culicoides circumscriptus	PCR , whole mosquitoes	Bulgaria	Kalimok	Bobeva et al 2013	 
266	HAWF6	2	96	Uranotaenia sp.	PCR, head and thorax	Madagascar	Maromizaha	Schmid et al 2017a	 
267	HEVER01	1	39	Gigantodax misitu	PCR, salivary gland and mid gut	Colombia	Chingaza PNN	Lotta et al 2016	 
268	LAMUT01	 	 	Simulium uchidai	PCR, salivary gland and mid gut	Japan	 	Sato et al 2009	 
269	LAMUT01	 	 	Simulium japonicum	PCR, salivary gland and mid gut	Japan	 	Sato et al 2009	 
270	LAMUT01	 	 	Prosimulium hirtipes	PCR, salivary gland and mid gut	Japan	 	Sato et al 2009	 
271	LINN1	 	 	Culex pipiens	PCR , whole mosquitoes	Austria	 	Schoener et al 2017	 
272	LINN1	1	543	Culex pipiens	PCR , whole mosquitoes	France	Tour Carbonniere	Zele et al 2014	 
273	LINN1	0	 	Culex pipiens	PCR, abdomen with blood meal	Italy	 	Martinez-de la Puente et al 2015	 
274	LINN1	 	 	Culex pipiens	PCR, head and thorax	Spain	Canada de los Pajaros	Ferraguti et al 2013a	 
275	LINN1	 	 	Culex pipiens	PCR, mosquitoes without blood meals	United States	 	Kimura et al 2010	 
276	LINN1	 	 	Culex restuans	PCR, mosquitoes without blood meals	United States	 	Kimura et al 2010	 
277	LINN1	 	 	Ochlerotatus caspius	PCR, head and thorax	Spain	Canada de los Pajaros	Ferraguti et al 2013a	 
278	LINN1	 	 	Culex modestus	PCR, head and thorax	Spain	Canada de los Pajaros	Ferraguti et al 2013a	 
279	LINN1	1	 	Culex hortensis	PCR, abdomen with blood meal	Italy	 	Martinez-de la Puente et al 2015	 
280	LINN1	 	 	Culex perexiguus	PCR, head and thorax	Spain	Canada de los Pajaros	Ferraguti et al 2013a	 
281	LTVOR01	 	 	Lutzia vorax	PCR , whole mosquitoes	Japan	 	Ejiri et al 2009	 
282	LZFUS01	 	 	Aedes albopictus	PCR , whole mosquitoes	Japan	 	Ejiri et al 2008	 
283	LZFUS01	 	 	Lutzia fuscanus	PCR , whole mosquitoes	Japan	 	Ejiri et al 2008	 
284	MANSON01	 	 	Mansonia sp. 1 BR-2012	PCR , whole mosquitoes	Japan	 	Ejiri et al 2008	 
285	MANSON02	 	 	Mansonia uniformis	PCR, thorax, absence of host DNA	Cameroon	 	Njabo et al 2011	 
286	MATIT01	 	 	Mansonia titillans	PCR , whole mosquitoes	Brazil	Mata Seca State Park	Ferreira et al 2016	1 pool postive / 459 pools tested (4336 mosquitoes)
287	MICRO01	 	 	Microlynchia galapagoensis	PCR, thorax, absence of host DNA	Ecuador	 	Valkiunas et al 2010b	 
288	MICRO02	 	 	Microlynchia galapagoensis	PCR, thorax, absence of host DNA	Ecuador	 	Valkiunas et al 2010b	 
289	MILANS04	2	35	Simulium angustipes	PCR , whole mosquitoes	Germany	Eastern Westphalia	Chakarov et al 2020	 
290	MILANS05	 	 	Culex neavei	PCR, thorax, absence of host DNA	Cameroon	 	Njabo et al 2011	 
291	MTUR2	1	86	Simulium vernum	PCR , whole mosquitoes	Germany	Eastern Westphalia	Chakarov et al 2020	 
292	MYISWA01	 	 	Mansonia sp.	PCR, head and thorax	Brazil	 	Guimaraes et al 2021	 
