#no	Lineage_Name	Alt_Lineage_Name	parasiteGenus	order	family	genus	species	subspecies	Host_Status	Host_Age	Host_Environment	continent	country	region	site	coordinates	found	tested	Reference_Name	comment
16511	ZOLEU02	 	Leucocytozoon	Passeriformes	Fringillidae	Junco	Junco hyemalis	 	Resident	Adult	Wild	North America	United States	 	Sacramento Mts (NM)	32°54.47400', -105°45.25686'	3	27	Martinez-Renau et al 2022	 
16512	ZOLEU02	 	Leucocytozoon	Passeriformes	Fringillidae	Junco	Junco hyemalis	 	Resident	Adult	Wild	North America	United States	 	Tahoe (CA)	38°49.50000', -120°22.70082'	1	29	Martinez-Renau et al 2022	 
16513	ZOLEU02	 	Leucocytozoon	Passeriformes	Fringillidae	Junco	Junco hyemalis	 	Resident	Adult	Wild	North America	United States	 	Wallowa NF (OR)	45°18.88200', -117°24.04710'	1	24	Martinez-Renau et al 2022	 
16514	ZOLEU02	 	Leucocytozoon	Passeriformes	Fringillidae	Junco	Junco hyemalis	 	Resident	Adult	Wild	North America	United States	 	White Mts (NH)	44°15.36000', -071°14.04288'	5	14	Martinez-Renau et al 2022	 
16515	ZOLEU04	 	Leucocytozoon	Passeriformes	Fringillidae	Zonotrichia	Zonotrichia leucophrys	 	Migratory	Adult	Wild	North America	United States	Alaska	Steese Highway Mile 50	65°13.82000', -146°56.61960'	1	3	Galen et al 2018	 
16516	ZOLEU05	 	Leucocytozoon	Passeriformes	Fringillidae	Zonotrichia	Zonotrichia leucophrys	 	Migratory	Adult	Wild	North America	United States	Alaska	Denali Highway Corkscrew Creek	63°02.32860', -147°00.22320'	1	7	Galen et al 2018	 
16517	ZOLEU06	ZOLEU03	Leucocytozoon	Passeriformes	Fringillidae	Zonotrichia	Zonotrichia leucophrys	 	Unknown	Unknown	Wild	North America	United States	Michigan	 	 	 	 	Smith et al 2018	 
16518	ZOLEU06	 	Leucocytozoon	Passeriformes	Fringillidae	Junco	Junco hyemalis	 	Resident	Adult	Wild	North America	United States	 	Tahoe (CA)	38°49.50000', -120°22.70082'	1	29	Martinez-Renau et al 2022	 
16519	ZOLEU07	ZOLEU04	Leucocytozoon	Passeriformes	Fringillidae	Zonotrichia	Zonotrichia leucophrys	 	Unknown	Unknown	Wild	North America	United States	Michigan	 	 	 	 	Smith et al 2018	 
16520	ZOLPYR01	 	Leucocytozoon	Passeriformes	Tyrannidae	Xolmis	Xolmis pyrope	 	Resident	Adult	Wild	South America	Argentina	 	Canadón Florido, Esquel, Chubut	-42°55.00000', -071°21.00000'	1	 	Fecchio et al 2019d	 
16521	ZOLPYR01	 	Leucocytozoon	Passeriformes	Tyrannidae	Elaenia	Elaenia albiceps	 	Resident	Adult	Wild	South America	Brazil	 	Parque Estadual da Serra do Mar	-23°59.62164', -046°44.00000'	1	 	Fecchio et al 2019d	 
16522	ZOLPYR01	AspChL2	Leucocytozoon	Passeriformes	Furnariidae	Aphrastura	Aphrastura spinicauda	 	Resident	Unknown	Wild	South America	Chile	 	Chiloé National Park	-42°07.00000', -074°09.00000'	1	10	Cuevas et al 2020	 
16523	ZOLPYR01	AspChL2	Leucocytozoon	Passeriformes	Furnariidae	Aphrastura	Aphrastura spinicauda	 	Resident	Unknown	Wild	South America	Chile	 	Mocha Island National Reserve	-38°23.00000', -073°52.00000'	1	39	Cuevas et al 2020	 
16524	ZOLPYR01	AspChL2	Leucocytozoon	Passeriformes	Furnariidae	Aphrastura	Aphrastura spinicauda	 	Resident	Unknown	Wild	South America	Chile	 	Puyehue National Park	-40°47.00000', -072°12.00000'	7	35	Cuevas et al 2020	 
16525	ZOLPYR01	AspChL2	Leucocytozoon	Passeriformes	Furnariidae	Aphrastura	Aphrastura spinicauda	 	Resident	Unknown	Wild	South America	Chile	 	San Pedro Island Private Reserve	-43°21.00000', -073°44.00000'	1	10	Cuevas et al 2020	 
16526	ZOLPYR01	AspChL2	Leucocytozoon	Passeriformes	Furnariidae	Aphrastura	Aphrastura spinicauda	 	Resident	Unknown	Wild	South America	Chile	 	Senda of Darwin Biological Station	-42°53.00000', -073°40.00000'	1	7	Cuevas et al 2020	 
16527	ZOLPYR01	 	Leucocytozoon	Passeriformes	Tyrannidae	Elaenia	Elaenia albiceps	 	Migratory	Unknown	Wild	South America	Brazil	São Paulo	Parque Estadual da Serra do Mar	-23°59.62164', -046°44.00000'	1	150	Anjos et al 2021	 
16528	ZOLPYR01	 	Leucocytozoon	Passeriformes	Tyrannidae	Elaenia	Elaenia chilensis	 	Migratory	Adult	Wild	South America	Argentina	 	Junin de los Andes	-39°43.99400', -071°3.486050'	1	31	Fecchio et al 2022b	 
16529	ZOMAD01	D2	Leucocytozoon	Passeriformes	Zosteropidae	Zosterops	Zosterops maderaspatanus	Zosterops maderaspatanus maderaspatanus	 	 	Wild	Africa	Madagascar	 	 	 	14	16	Cornuault et al 2012	14 of 16 infections successfully sequenced. Alternative lineage name: D2.
16530	ZOMAD01	 	Leucocytozoon	Passeriformes	Zosteropidae	Zosterops	Zosterops maderaspatanus	 	Resident	Unknown	Wild	Africa	Madagascar	 	Sahambaky	-19°04.00000′ , 048°20.49000′	6	9	Ivanova et al 2018	 
16531	ZOMAD01	MDG_L03	Leucocytozoon	Passeriformes	Zosteropidae	Zosterops	Zosterops maderaspatanus	 	Resident	Unknown	Wild	Africa	Madagascar	 	Maromizaha	-18°57.94000', 048°27.92000'	 	 	Musa et al 2019	 
16532	ZOMAD02	 	Leucocytozoon	Passeriformes	Zosteropidae	Zosterops	Zosterops maderaspatanus	Zosterops maderaspatanus maderaspatanus	 	 	Wild	Africa	Madagascar	 	 	 	5	16	Cornuault et al 2012	14 of 16 infections successfully sequenced. Alternative lineage name: V15.
16533	ZOMAD03	L2	Leucocytozoon	Passeriformes	Zosteropidae	Zosterops	Zosterops maderaspatanus	Zosterops maderaspatanus anjuanensis	 	 	Wild	Africa	Comoros	 	Anjouan	-12°15.47100', 044°28.03100'	1	4	Cornuault et al 2012	Alternative lineage name: L2.
