"","x"
"547","Oporornis tolmiei"
"548","Setophaga petechia"
"549","Carpodacus mexicanus"
"550","Corvus corax"
"551","Dendroica townsendi"
"552","Spizella arborea"
"553","Loxia curvirostra"
"554","Tachycineta thalassina"
"555","Cyanocitta cristata"
"556","Mniotilta varia"
"557","Leiothlypis peregrina"
"558","Dendroica caerulescens"
"559","Dendroica palmarum"
"560","Emberiza cirlus"
"561","Ficedula semitorquata"
"562","Serinus serinus"
"563","Riparia riparia"
"564","Sylvia communis"
"565","Emberiza schoeniclus"
"566","Centropus sinensis"
"567","Centropus toulou"
"568","Cercomacra cinerascens"
"569","Pipra erythrocephala"
"570","Pipra rubrocapilla"
"571","Cercomacra serva"
"572","Cettia cetti"
"573","Chamaeza campanisona"
"574","Chalcophaps indica"
"575","Heliodoxa leadbeateri"
"576","Chiroxiphia pareola"
"577","Chloroceryle aenea"
"578","Chlorophonia cyanea"
"579","Mionectes striaticollis"
"580","Chlorospingus flavopectus"
"581","Chloroceryle inda"
"582","Chlorospingus ophthalmicus"
"583","Chlorornis riefferii"
"584","Piculus rivolii"
"585","Mionectes macconnelli"
"586","Chondestes grammacus"
"587","Chordeiles minor"
"588","Cossypha niveicapilla"
"589","Accipiter virgatus"
"590","Larus cachinnans"
"591","Larus argentatus"
"592","Larus mongolicus"
"593","Ixobrychus minutus"
"594","Dryocopus martius"
"595","Falco amurensis"
"596","Circus cyaneus"
"597","Aquila heliaca"
"598","Cinclus cinclus"
"599","Nectarinia notata"
"600","Cinnyris souimanga"
"601","Neomixis striatigula"
"602","Garrulus glandarius"
"603","Claravis pretiosa"
"604","Lichenostomus virescens"
"605","Melithreptus brevirostris"
"606","Lichenostomus ornatus"
"607","Malurus coronatus"
"608","Malurus melanocephalus"
"609","Malurus assimilis"
"610","Malurus splendens"
"611","Spizella passerina"
"612","Dolichonyx oryzivorus"
"613","Spizella pallida"
"614","Poospiza whitii"
"615","Quiscalus quiscula"
"616","Setophaga ruticilla"
"617","Vermivora ruficapilla"
"618","Pipilo erythrophthalmus"
"619","Dumetella carolinensis"
"620","Hemispingus frontalis"
"621","Chlorospingus flavigularis"
"622","Coeligena iris"
"623","Diglossopis glauca"
"624","Drymophila caudata"
"625","Grallaria rufula"
"626","Hemispingus xanthophthalmus"
"627","Metallura tyrianthina"
"628","Patagona gigas"
"629","Pseudocolaptes boissonneautii"
"630","Thlypopsis ornata"
"631","Xiphorhynchus elegans"
"632","Corvus brachyrhynchos"
"633","Pica hudsonia"
"634","Corvus monedula"
"635","Hesperiphona vespertina"
"636","Delothraupis castaneoventris"
"637","Cranioleuca antisiensis"
"638","Thamnophilus bernardi"
"639","Phaethornis ruber"
"640","Veniliornis nigriceps"
"641","Grallaria ruficapilla"
"642","Neopelma pallescens"
"643","Coeligena helianthea"
"644","Phaethornis hispidus"
"645","Polyonymus caroli"
"646","Colaptes auratus"
"647","Piranga flava"
"648","Vireo plumbeus"
"649","Carduelis psaltria"
"650","Dendroica nigrescens"
"651","Piranga ludoviciana"
"652","Empidonax wrightii"
"653","Sialia mexicana"
"654","Picoides villosus"
"655","Polioptila caerulea"
"656","Columbina talpacoti"
"657","Coccyzus melacoryphus"
"658","Terenotriccus erythrurus"
"659","Columba elphinstonii"
"660","Columba livia"
"661","Passer hispaniolensis"
"662","Locustella luscinioides"
"663","Motacilla flava"
"664","Motacilla alba"
"665","Passer domesticus x hispaniolensis"
"666","Rhinomyias albigularis"
"667","Cyornis concretus"
"668","Ficedula nigrorufa"
"669","Myiomela albiventris"
"670","Sholicola ashambuensis"
"671","Sholicola major"
"672","Foudia omissa"
"673","Hartlaubius auratus"
"674","Cyclarhis gujanensis"
"675","Icterus spurius"
"676","Elaenia albiceps"
"677","Foudia madagascariensis"
"678","Ploceus nelicourvi"
"679","Colluricincla megarhyncha"
"680","Columbina minuta"
"681","Zenaida graysoni"
"682","Columbina passerina"
"683","Thamnophilus doliatus"
"684","Lepidocolaptes angustirostris"
"685","Cymbilaimus lineatus"
"686","Lophotriccus galeatus"
"687","Columbina picui"
"688","Patagioenas plumbea"
"689","Piculus rubiginosus"
"690","Conopophaga aurita"
"691","Contopus cooperi"
"692","Zimmerius viridiflavus"
"693","Conopophaga castaneiceps"
"694","Xiphorhynchus triangularis"
"695","Cranioleuca albicapilla"
"696","Cinclodes albidiventris"
"697","Leptotila verreauxi"
"698","Ochthoeca fumicolor"
"699","Leptopogon amaurocephalus"
"700","Philydor rufum"
"701","Polioptila plumbea"
"702","Thraupis sayaca"
"703","Tolmomyias flaviventris"
"704","Conirostrum sitticolor"
"705","Hemispingus superciliaris"
"706","Copsychus albospecularis"
"707","Columbina cruziana"
"708","Nonnula rubecula"
"709","Troglodytes musculus"
"710","Copsychus luzoniensis"
"711","Kittacincla malabarica"
"712","Copsychus malabaricus"
"713","Copsychus saularis"
"714","Veniliornis affinis"
"715","Veniliornis passerinus"
"716","Turdus rufiventris"
"717","Asthenes pyrrholeuca"
"718","Scardafella squammata"
"719","Coturnix coturnix"
"720","Coua reynaudii"
"721","Cracticus louisiadensis"
"722","Origma murina"
"723","Cracticus nigrogularis"
"724","Cranioleuca vulpina"
"725","Creagrus furcatus"
"726","Pipraeidea melanonota"
"727","Schistes geoffroyi"
"728","Crypturellus undulatus"
"729","Cuculus fugax"
"730","Cuculus rochii"
"731","Turdus viscivorus"
"732","Curaeus curaeus"
"733","Phytotoma rara"
"734","Eugralla paradoxa"
"735","Sturnella loyca"
"736","Sylvia conspicillata"
"737","Amaurornis phoenicurus"
"738","Tadorna tadorna"
"739","Passer montanus"
"740","Corvus macrorhynchos"
"741","Acritillas indica"
"742","Coccothraustes coccothraustes"
"743","Microscelis amaurotis"
"744","Zosterops japonicus"
"745","Cyanocompsa cyanoides"
"746","Cyanocorax cyanomelas"
"747","Cyanolanius madagascarinus"
"748","Cyanomitra olivacea"
"749","Thryomanes bewickii"
"750","Cyanocorax yncas"
"751","Cyornis banyumas"
"752","Thamnomanes caesius"
"753","Myrmornis torquata"
